time,open,high,low,close,volume,RSI,MACD,Signal,SMA,Bollinger_Upper,Bollinger_Lower,Buy_Signal,Sell_Signal
2025-01-17 00:10:00,100182.74,100350.0,100141.02,100277.8,64.69505,,0.0,0.0,,,,False,False
2025-01-17 00:15:00,100277.79,100434.96,100243.92,100293.43,62.54618,,1.246837606857298,0.2493675213714596,,,,False,False
2025-01-17 00:20:00,100293.43,100330.0,100275.87,100299.98,71.18375,,2.732002824675874,0.7458945820323424,,,,False,False
2025-01-17 00:25:00,100299.99,100299.99,100065.24,100156.0,194.34937,,-7.621124173616408,-0.9275091690974079,,,,False,False
2025-01-17 00:30:00,100155.99,100216.0,100113.9,100177.74,40.92143,,-13.91145302784571,-3.5242979408470685,,,,False,False
2025-01-17 00:35:00,100177.73,100230.35,100114.69,100226.78,38.91289,,-14.769215485983295,-5.773281449874315,,,,False,False
2025-01-17 00:40:00,100226.78,100300.0,100176.96,100190.3,42.68742,,-18.18302692200814,-8.25523054430108,,,,False,False
2025-01-17 00:45:00,100190.31,100190.31,100069.86,100081.99,35.58052,,-29.290565489558503,-12.462297533352565,,,,False,False
2025-01-17 00:50:00,100081.99,100130.0,100064.85,100129.99,17.72909,,-33.83019752409018,-16.73587753150009,,,,False,False
2025-01-17 00:55:00,100130.0,100160.9,100117.36,100120.58,25.93824,,-37.75201524316799,-20.939105073833673,,,,False,False
2025-01-17 01:00:00,100120.58,100221.42,100120.58,100150.01,46.29219,,-38.046749749657465,-24.36063400899843,,,,False,False
2025-01-17 01:05:00,100150.0,100300.0,100086.26,100163.95,100.24669,,-36.73206311230024,-26.834919829658794,,,,False,False
2025-01-17 01:10:00,100163.96,100188.65,100060.35,100080.79,30.63069,,-41.91728511310066,-29.85139288634717,,,,False,False
2025-01-17 01:15:00,100080.78,100194.66,100060.34,100106.44,45.1694,35.51038354867053,-43.45593727767118,-32.57230176461198,,,,False,False
2025-01-17 01:20:00,100106.45,100213.44,100050.0,100054.05,59.16605,32.620279318326354,-48.345468890620396,-35.72693518981366,,,,False,False
2025-01-17 01:25:00,100054.05,100256.0,100054.05,100215.07,31.18115,45.034849828919945,-38.7804527025728,-36.33763869236549,,,,False,False
